id,produto,quantidade,preço,data
37,processador de alimentos,3,199.00,06/02/2023
38,liquidificador,5,79.90,07/02/2023
39,cafeteira elétrica,4,49.90,08/02/2023
40,aspirador de pó,2,299.00,09/02/2023
41,ferro de passar roupa,3,39.90,10/02/2023
42,máquina de lavar roupas,1,1499.00,11/02/2023
43,secadora de roupas,2,799.00,12/02/2023
44,lava-louças,1,1999.00,13/02/2023
45,panela de pressão elétrica,4,129.00,14/02/2023
46,air fryer,3,299.90,15/02/2023
47,ferro de waffle,2,39.90,16/02/2023
48,torradeira,3,49.90,17/02/2023
49,micro-ondas,2,399.00,18/02/2023
50,frigobar,1,599.00,19/02/2023
51,cafeteira expresso,3,1999.00,20/02/2023
52,guitarra elétrica fender,3,2999.00,20/02/2023
53,amplificador de guitarra,4,799.00,21/02/2023
54,pedaleira preta,5,499.00,22/02/2023
55,cabo para instrumento ninja,10,59.00,23/02/2023
56,palheta dunlop,20,1.00,24/02/2023
57,afinador digital,6,49.00,25/02/2023
58,capotraste,8,99.00,26/02/2023
59,suporte para guitarra,7,29.00,27/02/2023
60,correia para guitarra,9,19.00,28/02/2023
61,encordoamento para guitarra,12,39.00,01/03/2023
62,violão acústico,4,299.00,02/03/2023
63,capa para violão,5,99.00,03/03/2023
64,banqueta para violão,6,69.00,04/03/2023
65,limpador de cordas,8,29.00,05/03/2023
66,flauta transversal,2,1999.00,06/03/2023
67,suporte para flauta,4,79.00,07/03/2023
68,estojo para flauta,10,9999,08/03/2023
70,saxofone,4,4359.00,10/03/2023
71,suporte para saxofone,5,32,69,11/03/2023
76,teclado musical casio,2,784.98,16/03/2023
77,sintetizador de voz,3,324.12,17/03/2023
78,controlador com cabo usb,4,124.00,18/03/2023
79,caixa de som jbl,2,39.99,19/03/2023
80,microfone sem fio shure,3,2000.00,20/03/2023
81,pedestal para microfone,6,150.00,21/03/2023
82,cabo para microfone,10,12.50,22/03/2023
83,caixa acústica,8,789.00,24/03/2023
85,mixer de áudio behringer,2,888.00,25/03/2023
86,fone de ouvido profissional akg,3,300.00,27/03/2023
88,monitor yamaha hs5,2,990.00,31/01/2023
